window_id,scale,S_I,S_IR,S_log,gain_IR,gain_log
short_0,short,0.44634801078132325,0.5055333638198732,0.5636401211522647,0.05918535303854999,0.11729211037094145
short_1,short,0.4943187134411372,0.6219136771054737,0.6027053725368066,0.12759496366433654,0.10838665909566936
short_2,short,0.4231689174478279,0.7433202204814627,0.7833158903964644,0.3201513030336348,0.3601469729486365
short_3,short,0.38746569634643063,0.2411871819241855,0.40672159913072836,-0.14627851442224513,0.01925590278429773
short_4,short,0.36909737795761566,0.6977306884724181,0.6827741841276708,0.3286333105148025,0.3136768061700551
medium_0,medium,0.4261773876698455,0.42915095264379005,0.48637694569675044,0.0029735649739445758,0.060199558026904965
medium_1,medium,0.49351676499640024,0.4808541820666114,0.5320091981159953,-0.012662582929788835,0.038492433119595104
medium_2,medium,0.3340706862371383,0.4831532778162579,0.4982471625460179,0.14908259157911957,0.1641764763088796
medium_3,medium,0.38360007522283895,0.30520562739513624,0.47750796839148557,-0.07839444782770272,0.09390789316864662
medium_4,medium,0.41253038590807173,0.43122206441357747,0.5634516198480954,0.018691678505505738,0.1509212339400237
long_0,long,0.3717898683263828,0.3671805547185061,0.4704100824987366,-0.004609313607876697,0.09862021417235384
long_1,long,0.36176007620447725,0.34709282500398697,0.3875528522022185,-0.014667251200490283,0.02579277599774127
long_2,long,0.22075473551378336,0.26469746342331174,0.31413985951186396,0.043942727909528384,0.0933851239980806
long_3,long,0.309121670965917,0.30448495681305066,0.3806319676569356,-0.004636714152866317,0.0715102966910186
long_4,long,0.3500099073109997,0.3798316133472407,0.45740188350936484,0.029821706036241014,0.10739197619836516
